,Device ID,Memory
1346,8487,32GB
1347,8519,128GB
1348,8519,64GB
1349,8518,32GB
1350,8518,64GB
1351,8404,32GB
1352,8404,64GB
1353,8444,16GB
1354,8277,64GB
1355,8884,32GB
1356,8297,16GB
1357,8297,32GB
1358,8276,32GB
1359,8633,32GB
1360,8128,32GB
1361,8086,16GB
1362,8066,32GB
1363,8072,16GB
1364,8031,32GB
1365,8031,64GB
1366,7884,32GB
1367,7884,64GB
1368,7942,16GB
1369,7941,16GB
1370,7940,16GB
1371,8348,8GB
1372,7836,32GB
1373,7758,16GB
1374,7731,16GB
1375,7731,32GB
1376,7753,16GB
1377,7627,16GB
1378,7592,32GB
1379,7591,32GB
1380,7576,16GB
1381,7576,32GB
1382,7421,16GB
1383,7418,8GB
1384,7419,8GB
1385,7420,8GB
1386,7275,32GB
1387,7267,16GB
1388,7194,8GB
1389,6977,32GB
1390,7165,16GB
1391,7165,32GB
1392,7111,32GB
1393,7310,16GB
1394,6891,32GB
1395,7115,16GB
1396,7183,8GB
1397,6968,16GB
1398,6947,16GB
1399,6947,8GB
1400,6921,16GB
1401,6913,4GB
1402,6913,512MB
1403,6913,8GB
1404,6841,8GB
1405,6830,8GB
1406,5823,16GB
1407,5823,32GB
1408,6736,16GB
1409,6736,8GB
1410,6713,16GB
1411,6715,16GB
1412,6719,8GB
1413,6854,16GB
1414,6637,16GB
1415,6636,16GB
1416,6621,16GB
1417,6608,8GB
1418,6589,32GB
1419,6588,32GB
1420,6581,16GB
1421,6581,32GB
1422,6528,16GB
1423,6483,16GB
1424,6463,4GB
1425,6397,16GB
1426,6345,16GB
1427,6234,4GB
1428,6316,4GB
1429,6233,32GB
1430,6074,16GB
1431,6074,32GB
1432,6348,4GB
1433,6348,512MB
1434,6009,4GB
1435,6009,512MB
1436,6487,8GB
1437,6073,8GB
1438,6160,8GB
1439,5907,8GB
1440,6552,8GB
1441,5870,8GB
1442,5871,4GB
1443,5872,8GB
1444,5704,16GB
1445,5704,32GB
1446,5666,4GB
1447,5667,8GB
1448,5623,4GB
1449,5505,16GB
1450,6121,4GB
1451,6123,4GB
1452,6122,4GB
1453,5547,8GB
1454,5537,16GB
1455,5536,4GB
1456,5465,8GB
1457,5395,16GB
1458,5498,32GB
1459,5313,32GB
1460,5313,64GB
1461,5261,4GB
1462,4978,4GB
1463,5118,16GB
1464,5113,16GB
1465,5106,8GB
1466,5105,8GB
1467,5100,4GB
1468,5016,8GB
1469,4976,32GB
1470,4976,64GB
1471,5104,16GB
1472,4975,16GB
1473,5000,4GB
1474,4980,4GB
1475,4979,4GB
1476,4951,4GB
1477,4830,4GB
1478,5861,4GB
1479,4829,4GB
1480,4805,4GB
1481,4759,4GB
1482,4997,16GB
1483,4744,8GB
1484,4665,16GB
1485,4977,16GB
1486,4320,1632GB
1487,4614,16GB
1488,4572,32GB
1489,4836,16GB
1490,4574,16GB
1491,4575,4GB
1492,4525,16GB
1493,4435,16GB
1494,4411,16GB
1495,4099,16GB
1496,4302,16GB
1497,4202,4GB
1498,4161,16GB
1499,4102,512MB
1500,4097,16GB
1501,3958,16GB
1502,4132,4GB
1503,4285,4GB
