,Device ID,RAM
1499,9803,6GB
1500,9803,8GB
1501,9748,4GB
1502,9748,6GB
1503,9823,6GB
1504,9747,4GB
1505,9747,8GB
1506,9746,8GB
1507,9728,8GB
1508,9727,6GB
1509,9727,8GB
1510,9742,4GB
1511,9703,4GB
1512,9694,4GB
1513,9705,6GB
1514,9705,8GB
1515,9635,6GB
1516,9635,8GB
1517,9530,6GB
1518,9530,8GB
1519,9545,4GB
1520,9545,6GB
1521,9545,8GB
1522,9627,4GB
1523,9627,6GB
1524,9627,8GB
1525,9675,2GB
1526,9645,3GB
1527,9644,4GB
1528,9644,6GB
1529,9643,4GB
1530,9668,3GB
1531,9668,4GB
1532,9576,3GB
1533,9620,2GB
1534,9625,3GB
1535,9625,4GB
1536,9531,3GB
1537,9500,3GB
1538,9500,4GB
